,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,1.9383523487379621,,Intercept,480.1896086249861,480.0,-0.18960862498607867,480.0
1,1,grade:A,0.3046034825223433,0.0006184792246489299,grade,24.124378490781044,24.0,-0.12437849078104435,24.0
2,2,grade:B,0.4099481422839085,6.891484870046269e-12,grade,32.46760038380105,32.0,-0.46760038380104874,32.0
3,3,grade:C,0.37628767327849655,2.1476911444633513e-11,grade,29.80171525425662,30.0,0.19828474574337918,30.0
4,4,grade:D,0.33357650121304144,7.141004134944271e-10,grade,26.41902089974827,26.0,-0.4190208997482685,26.0
5,5,grade:E,0.26041739455843793,8.199120636156772e-08,grade,20.624871849421464,21.0,0.37512815057853643,21.0
6,6,grade:F,0.10309469840344807,0.04115943282793659,grade,8.165026558733674,8.0,-0.16502655873367367,8.0
7,7,home_ownership:OWN,0.13040577078528975,9.495194976554797e-11,home_ownership,10.328044005785799,10.0,-0.32804400578579873,10.0
8,8,home_ownership:MORTGAGE,0.12714728024473038,7.256533203511524e-24,home_ownership,10.069973879803843,10.0,-0.06997387980384318,10.0
9,9,addr_state:NM_VA,0.01410849206629565,0.6596299583811136,addr_state,1.1173825056860005,1.0,-0.1173825056860005,1.0
10,10,addr_state:NY,0.046336447509635594,0.05641195266815248,addr_state,3.6698135831676253,4.0,0.3301864168323747,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.06481795337462246,0.005272807397913747,addr_state,5.133535661702393,5.0,-0.13353566170239262,5.0
12,12,addr_state:CA,0.04494107832569658,0.03454795272820769,addr_state,3.5593013393516086,4.0,0.44069866064839136,4.0
13,13,addr_state:UT_KY_AZ_NJ,0.06729457514850694,0.007038506535554578,addr_state,5.329682339202431,5.0,-0.3296823392024306,5.0
14,14,addr_state:AR_MI_PA_OH_MN,0.1366578666292706,1.5187122434731249e-09,addr_state,10.823205535955665,11.0,0.17679446404433463,11.0
15,15,addr_state:RI_MA_DE_SD_IN,0.10104304353636347,0.0007254012951667463,addr_state,8.002536957051685,8.0,-0.002536957051685107,8.0
16,16,addr_state:GA_WA_OR,0.17860772562503605,2.5244639381698934e-11,addr_state,14.145604438517482,14.0,-0.1456044385174824,14.0
17,17,addr_state:WI_MT,0.26137279021744053,5.18653339662375e-08,addr_state,20.700538503969764,21.0,0.2994614960302364,21.0
18,18,addr_state:TX,0.22064750032282493,2.4513255658709292e-17,addr_state,17.475124600527536,17.0,-0.47512460052753624,18.0
19,19,addr_state:IL_CT,0.2571356070251319,1.7442975961579675e-18,addr_state,20.364956618235638,20.0,-0.3649566182356381,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.32357520982280563,1.2862627414306353e-25,addr_state,25.626925757247918,26.0,0.37307424275208234,26.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.497467306269753,8.651452970630726e-21,addr_state,39.39905572931364,39.0,-0.39905572931363764,39.0
22,22,verification_status:Not Verified,0.1322539288550346,9.381557276883518e-20,verification_status,10.474416806307032,10.0,-0.47441680630703154,11.0
23,23,verification_status:Source Verified,0.0884219604420466,1.6202003684156285e-11,verification_status,7.002956180726963,7.0,-0.0029561807269633533,7.0
24,24,purpose:credit_card,0.3915570943524367,1.1453134983631422e-42,purpose,31.011042509061788,31.0,-0.011042509061788053,31.0
25,25,purpose:debt_consolidation,0.28091306344185246,1.8472351100849666e-26,purpose,22.24811420197384,22.0,-0.24811420197384138,22.0
26,26,purpose:oth__med__vacation,0.2821667766919116,4.820282905539944e-19,purpose,22.347407396893615,22.0,-0.34740739689361533,22.0
27,27,purpose:major_purch__car__home_impr,0.3064679867761906,4.877425820498428e-22,purpose,24.272045897420703,24.0,-0.2720458974207034,24.0
28,28,initial_list_status:w,0.2703868488661135,1.3507475310194607e-111,initial_list_status,21.4144455176978,21.0,-0.4144455176977999,21.0
29,29,term:36,0.0773060552942144,2.8354766650844476e-08,term,6.12258442386678,6.0,-0.1225844238667797,6.0
30,30,emp_length:1,0.06893318696503008,0.008185383453883735,emp_length,5.459459225973156,5.0,-0.4594592259731556,5.0
31,31,emp_length:2-4,0.08873186683796747,2.7706795357419238e-06,emp_length,7.027500546175446,7.0,-0.02750054617544606,7.0
32,32,emp_length:5-6,0.03216351298643632,0.13298183586386111,emp_length,2.547327280872521,3.0,0.4526727191274791,3.0
33,33,emp_length:7-9,0.04853313454565673,0.019742075317340586,emp_length,3.8437896291535036,4.0,0.15621037084649636,4.0
34,34,emp_length:10,0.12053649129096929,6.326597901044773e-11,emp_length,9.546404111255615,10.0,0.4535958887443847,10.0
35,35,int_rate:<9.548,1.6106297005126458,7.452477162846871e-107,int_rate,127.56072314705155,128.0,0.43927685294845276,128.0
36,36,int_rate:9.548-12.025,0.9619474631611387,3.18343326571519e-118,int_rate,76.18555276315243,76.0,-0.18555276315242963,76.0
37,37,int_rate:12.025-15.74,0.6131385901782795,2.4225531522805216e-70,int_rate,48.560138887051984,49.0,0.4398611129480159,49.0
38,38,int_rate:15.74-20.281,0.22829275721723086,1.2653694060587042e-15,int_rate,18.08062349191455,18.0,-0.08062349191455098,18.0
39,39,mths_since_earliest_cr_line:141-164,-0.010171119301051412,0.6825919335002539,mths_since_earliest_cr_line,-0.8055453918700818,-1.0,-0.19445460812991822,-1.0
40,40,mths_since_earliest_cr_line:165-247,-0.06450067527484837,0.0012455530691190375,mths_since_earliest_cr_line,-5.108407462568214,-5.0,0.10840746256821365,-5.0
41,41,mths_since_earliest_cr_line:248-270,-0.04025838714904043,0.12355465327069232,mths_since_earliest_cr_line,-3.188435539113073,-3.0,0.18843553911307298,-3.0
42,42,mths_since_earliest_cr_line:271-352,0.004445182524204366,0.8486465565091386,mths_since_earliest_cr_line,0.35205528441929596,0.0,-0.35205528441929596,0.0
43,43,mths_since_earliest_cr_line:>352,0.025037354262759864,0.34399294944332537,mths_since_earliest_cr_line,1.9829405942470921,2.0,0.017059405752907875,2.0
44,44,inq_last_6mths:0,-1.1155051222514054,4.391871434753737e-18,inq_last_6mths,-88.34720980454948,-88.0,0.3472098045494789,-88.0
45,45,inq_last_6mths:1-2,-1.2896700017589438,1.2314914967648164e-23,inq_last_6mths,-102.14094400039188,-102.0,0.14094400039188315,-102.0
46,46,inq_last_6mths:3-6,-1.450262011923469,2.9352484286438744e-29,inq_last_6mths,-114.85971662808234,-115.0,-0.14028337191766127,-115.0
47,47,acc_now_delinq:>=1,0.23336146110454586,0.030453819085938617,acc_now_delinq,18.482061223429362,18.0,-0.482061223429362,19.0
48,48,annual_inc:20K-30K,-0.09073845115363453,0.035970652024008676,annual_inc,-7.186420592341583,-7.0,0.18642059234158292,-7.0
49,49,annual_inc:30K-40K,-0.03053133080422782,0.4630081700554647,annual_inc,-2.4180596165521746,-2.0,0.4180596165521746,-2.0
50,50,annual_inc:40K-50K,0.07329818495689903,0.07764684204132748,annual_inc,5.805163952640625,6.0,0.19483604735937465,6.0
51,51,annual_inc:50K-60K,0.1416847501707852,0.0007494702287043697,annual_inc,11.22133112592058,11.0,-0.2213311259205799,11.0
52,52,annual_inc:60K-70K,0.22662338736432036,1.3107336933655238e-07,annual_inc,17.948410590606837,18.0,0.05158940939316281,18.0
53,53,annual_inc:70K-80K,0.30321324823736184,4.269028315179504e-12,annual_inc,24.014272927298876,24.0,-0.01427292729887597,24.0
54,54,annual_inc:80K-90K,0.3784829722384824,8.563655550742196e-17,annual_inc,29.97558136561085,30.0,0.02441863438914993,30.0
55,55,annual_inc:90K-100K,0.40903893259135843,3.3243706603336948e-18,annual_inc,32.395591624843554,32.0,-0.39559162484355426,32.0
56,56,annual_inc:100K-120K,0.49117654413962036,5.958631479708836e-26,annual_inc,38.900831856867725,39.0,0.09916814313227462,39.0
57,57,annual_inc:120K-140K,0.5864460000510328,1.022266128003664e-28,annual_inc,46.44610479329617,46.0,-0.4461047932961719,46.0
58,58,annual_inc:>140K,0.5518813110680777,7.573662642673611e-30,annual_inc,43.70860608666279,44.0,0.29139391333720965,44.0
59,59,dti:<=1.4,-0.2867169834014727,0.0009432519370957432,dti,-22.707780521861725,-23.0,-0.292219478138275,-23.0
60,60,dti:1.4-3.5,-0.12218269200433149,0.09315937155184649,dti,-9.676782033241555,-10.0,-0.3232179667584454,-10.0
61,61,dti:3.5-7.7,-0.08483311663233946,0.17872853952773216,dti,-6.718722311525153,-7.0,-0.28127768847484713,-7.0
62,62,dti:7.7-10.5,-0.13646109805139142,0.029455935013091718,dti,-10.807621604975814,-11.0,-0.19237839502418552,-11.0
63,63,dti:10.5-16.1,-0.20330375256659294,0.0008151866313442479,dti,-16.10151215245159,-16.0,0.10151215245159051,-16.0
